#
# Output is generated by GenSAS 7.x-5.0
#
#IPR Term           : Corresponding InterPro entry.
#IPR Description    : Description of the InterPro entry.
#Source             : Name of the source database.
#Source Term        : Database members entry.
#Source Description : Database member description for the entry.
Name	IPR Term	IPR Description	Source	Source Term	Source Description	GO
32225-Vv.00g000650.m01	noIPR		PANTHER	PTHR18934:SF148	ATP-DEPENDENT RNA HELICASE DHX34-RELATED	GO:0003676, GO:0005524, GO:0017111
32225-Vv.00g000650.m01	noIPR		PANTHER	PTHR18934	ATP-DEPENDENT RNA HELICASE	GO:0003676, GO:0005524, GO:0017111
32225-Vv.00g000650.m01	IPR011545	DEAD/DEAH box helicase domain	PFAM	PF00270	DEAD	GO:0003676, GO:0005524, GO:0017111
32225-Vv.00g000650.m01	IPR021892	RNA helicase NPH-II	PFAM	PF12011	NPH-II	GO:0003676, GO:0005524, GO:0017111
32225-Vv.00g000650.m01	IPR002464	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	PROSITE_PATTERNS	PS00690	DEAH_ATP_HELICASE	GO:0003676, GO:0005524, GO:0017111
32225-Vv.00g000650.m01	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	GO:0003676, GO:0005524, GO:0017111
32225-Vv.00g000660.m01	IPR005072	Peptidase M44, metalloendopeptidase G1	PIRSF	PIRSF015679	VAC_mptidase_G1L	GO:0008270, GO:0019058, GO:0004222, GO:0003824, GO:0046872
32225-Vv.00g000660.m01	IPR005072	Peptidase M44, metalloendopeptidase G1	PFAM	PF03410	Peptidase_M44	GO:0008270, GO:0019058, GO:0004222, GO:0003824, GO:0046872
32225-Vv.00g000660.m01	IPR011249	Metalloenzyme, LuxS/M16 peptidase-like	SUPERFAMILY	SSF63411	LuxS/MPP-like metallohydrolase	GO:0008270, GO:0019058, GO:0004222, GO:0003824, GO:0046872
32225-Vv.00g000670.m01	IPR010367	Poxvirus G3	PFAM	PF06129	Chordopox_G3	
32225-Vv.00g000680.m01	IPR008446	Chordopoxvirus G2	PFAM	PF05796	Chordopox_G2	
32225-Vv.00g000680.m01	IPR008446	Chordopoxvirus G2	PRODOM	PD023269		
32225-Vv.00g000690.m01	IPR008554	Glutaredoxin-like	PFAM	PF05768	DUF836	
32225-Vv.00g000690.m01	noIPR		GENE3D	G3DSA:3.40.30.10		
32225-Vv.00g000690.m01	IPR036249	Thioredoxin-like superfamily	SUPERFAMILY	SSF52833	Thioredoxin-like	
32225-Vv.00g000700.m01	noIPR		COILS	Coil	Coil	
32225-Vv.00g000700.m01	IPR007678	Poxvirus G5	PFAM	PF04599	Pox_G5	
32225-Vv.00g000710.m01	IPR008448	DNA-directed RNA polymerase, 7kDa polypeptide, chordopoxviral	PFAM	PF05864	Chordopox_RPO7	GO:0006351, GO:0003677, GO:0003899
32225-Vv.00g000710.m01	IPR008448	DNA-directed RNA polymerase, 7kDa polypeptide, chordopoxviral	PRODOM	PD019250		GO:0006351, GO:0003677, GO:0003899
32225-Vv.00g000720.m01	noIPR		GENE3D	G3DSA:3.90.1720.10		
32225-Vv.00g000720.m01	IPR024453	Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family	PFAM	PF05708	Peptidase_C92	
32225-Vv.00g000720.m01	IPR008548	Poxvirus G6	PRODOM	PD011073		
32225-Vv.00g000720.m01	IPR038765	Papain-like cysteine peptidase superfamily	SUPERFAMILY	SSF54001	Cysteine proteinases	
32225-Vv.00g000730.m01	IPR008787	Poxvirus G7-like	PFAM	PF05503	Pox_G7	
32225-Vv.00g000740.m01	IPR005022	Viral trans-activator protein	PFAM	PF03355	Pox_TAP	GO:0006355
32225-Vv.00g000740.m01	IPR005022	Viral trans-activator protein	PRODOM	PD011171		GO:0006355
32225-Vv.00g000750.m01	IPR004251	Pox virus entry-fusion-complex G9/A16	PFAM	PF03003	Pox_G9-A16	
32225-Vv.00g000760.m01	IPR003472	Virion membrane protein, poxvirus L1-related	PFAM	PF02442	L1R_F9L	
32225-Vv.00g000770.m01	IPR008447	Protein L2	PFAM	PF05803	Chordopox_L2	
32225-Vv.00g000770.m01	IPR008447	Protein L2	PRODOM	PD019912		
32225-Vv.00g000780.m01	IPR005007	Poxvirus L3/FP4	PFAM	PF03339	Pox_L3_FP4	
32225-Vv.00g000790.m01	IPR007586	Poxvirus VP8/L4R, nucleic acid binding	PFAM	PF04498	Pox_VP8_L4R	GO:0019028, GO:0005198
32225-Vv.00g000790.m01	IPR007586	Poxvirus VP8/L4R, nucleic acid binding	PRODOM	PD011473		GO:0019028, GO:0005198
32225-Vv.00g000800.m01	IPR006956	Poxvirus L5	PFAM	PF04872	Pox_L5	
32225-Vv.00g000800.m01	IPR006956	Poxvirus L5	PRODOM	PD012858		
32225-Vv.00g000810.m01	IPR005006	Poxvirus J1	PFAM	PF03338	Pox_J1	
32225-Vv.00g000810.m01	IPR005006	Poxvirus J1	PRODOM	PD007410		
32225-Vv.00g000820.m01	noIPR		GENE3D	G3DSA:3.40.50.300		GO:0004797, GO:0005524
32225-Vv.00g000820.m01	noIPR		GENE3D	G3DSA:3.30.60.20		GO:0004797, GO:0005524
32225-Vv.00g000820.m01	noIPR		PANTHER	PTHR11441:SF0	THYMIDINE KINASE, CYTOSOLIC	GO:0004797, GO:0005524
32225-Vv.00g000820.m01	noIPR		SUPERFAMILY	SSF57716	Glucocorticoid receptor-like (DNA-binding domain)	GO:0004797, GO:0005524
32225-Vv.00g000820.m01	IPR001267	Thymidine kinase	PIRSF	PIRSF035805	Tdk	GO:0004797, GO:0005524
32225-Vv.00g000820.m01	IPR001267	Thymidine kinase	PFAM	PF00265	TK	GO:0004797, GO:0005524
32225-Vv.00g000820.m01	IPR001267	Thymidine kinase	PANTHER	PTHR11441	THYMIDINE KINASE	GO:0004797, GO:0005524
32225-Vv.00g000820.m01	IPR020633	Thymidine kinase, conserved site	PROSITE_PATTERNS	PS00603	TK_CELLULAR_TYPE	GO:0004797, GO:0005524
32225-Vv.00g000820.m01	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	GO:0004797, GO:0005524
32225-Vv.00g000830.m01	IPR030375	Poxvirus cap-specific nucleoside 2-O-methyltransferase	PIRSF	PIRSF003726	Vaccinia_VP39	GO:0004483, GO:0031440, GO:0003746, GO:0006370
32225-Vv.00g000830.m01	noIPR		GENE3D	G3DSA:3.40.50.150		GO:0004483, GO:0031440, GO:0003746, GO:0006370
32225-Vv.00g000830.m01	IPR000176	mRNA methyltransferase-like	PFAM	PF01358	PARP_regulatory	GO:0004483, GO:0031440, GO:0003746, GO:0006370
32225-Vv.00g000830.m01	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	GO:0004483, GO:0031440, GO:0003746, GO:0006370
32225-Vv.00g000840.m01	IPR007937	RNA polymerase, 22kDa subunit, poxviral	PFAM	PF05273	Pox_RNA_Pol_22	GO:0003677, GO:0003899, GO:0019083
32225-Vv.00g000840.m01	IPR007937	RNA polymerase, 22kDa subunit, poxviral	PRODOM	PD011187		GO:0003677, GO:0003899, GO:0019083
32225-Vv.00g000850.m01	IPR004251	Pox virus entry-fusion-complex G9/A16	PFAM	PF03003	Pox_G9-A16	
32225-Vv.00g000860.m01	IPR006592	RNA polymerase, N-terminal	SMART	SM00663	rpolaneu7	GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	IPR007083	RNA polymerase Rpb1, domain 4	PFAM	PF05000	RNA_pol_Rpb1_4	GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	noIPR		GENE3D	G3DSA:2.40.40.20		GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	noIPR		GENE3D	G3DSA:1.20.120.1280		GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	noIPR		GENE3D	G3DSA:3.30.1490.180		GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	noIPR		PANTHER	PTHR19376	DNA-DIRECTED RNA POLYMERASE	GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	noIPR		SUPERFAMILY	SSF64484	beta and beta-prime subunits of DNA dependent RNA-polymerase	GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	IPR007066	RNA polymerase Rpb1, domain 3	PFAM	PF04983	RNA_pol_Rpb1_3	GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	IPR000722	RNA polymerase, alpha subunit	PFAM	PF00623	RNA_pol_Rpb1_2	GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	IPR007080	RNA polymerase Rpb1, domain 1	PFAM	PF04997	RNA_pol_Rpb1_1	GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	IPR038120	RNA polymerase Rpb1, funnel domain superfamily	GENE3D	G3DSA:1.10.132.30		GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000860.m01	IPR007081	RNA polymerase Rpb1, domain 5	PFAM	PF04998	RNA_pol_Rpb1_5	GO:0003899, GO:0003677, GO:0006351
32225-Vv.00g000870.m01	IPR003595	Protein-tyrosine phosphatase, catalytic	SMART	SM00404	ptp_7	GO:0008138, GO:0006470, GO:0016311, GO:0004725
32225-Vv.00g000870.m01	IPR020422	Dual specificity protein phosphatase domain	SMART	SM00195	dsp_5	GO:0008138, GO:0006470, GO:0016311, GO:0004725
32225-Vv.00g000870.m01	IPR029021	Protein-tyrosine phosphatase-like	GENE3D	G3DSA:3.90.190.10		GO:0008138, GO:0006470, GO:0016311, GO:0004725
32225-Vv.00g000870.m01	IPR029021	Protein-tyrosine phosphatase-like	SUPERFAMILY	SSF52799	(Phosphotyrosine protein) phosphatases II	GO:0008138, GO:0006470, GO:0016311, GO:0004725
32225-Vv.00g000870.m01	IPR000340	Dual specificity phosphatase, catalytic domain	PFAM	PF00782	DSPc	GO:0008138, GO:0006470, GO:0016311, GO:0004725
32225-Vv.00g000870.m01	IPR024950	Dual specificity phosphatase	PANTHER	PTHR10159	DUAL SPECIFICITY PROTEIN PHOSPHATASE	GO:0008138, GO:0006470, GO:0016311, GO:0004725
32225-Vv.00g000870.m01	noIPR		PANTHER	PTHR10159:SF489	DUAL SPECIFICITY PROTEIN PHOSPHATASE MPK3	GO:0008138, GO:0006470, GO:0016311, GO:0004725
32225-Vv.00g000870.m01	IPR016130	Protein-tyrosine phosphatase, active site	PROSITE_PATTERNS	PS00383	TYR_PHOSPHATASE_1	GO:0008138, GO:0006470, GO:0016311, GO:0004725
32225-Vv.00g000880.m01	IPR005023	Viral late protein H2	PFAM	PF03356	Pox_LP_H2	
32225-Vv.00g000880.m01	IPR005023	Viral late protein H2	PRODOM	PD013456		
32225-Vv.00g000890.m01	IPR004900	Poxvirus P35	PFAM	PF03213	Pox_P35	GO:0019031
32225-Vv.00g000900.m01	IPR004974	RNA polymerase-associated transcription specificity factor Rap94	PFAM	PF03294	Pox_Rap94	GO:0003700
32225-Vv.00g000920.m01	IPR004966	Pox virus Ag35 surface protein	PFAM	PF03286	Pox_Ag35	GO:0019031
32225-Vv.00g000930.m01	IPR015346	DNA topoisomerase I, N-terminal, viral	PFAM	PF09266	VirDNA-topo-I_N	GO:0003916, GO:0006265, GO:0003677, GO:0003917
32225-Vv.00g000930.m01	IPR013500	DNA topoisomerase I, catalytic core, eukaryotic-type	PFAM	PF01028	Topoisom_I	GO:0003916, GO:0006265, GO:0003677, GO:0003917
32225-Vv.00g000930.m01	IPR014711	DNA topoisomerase I, catalytic core, alpha-helical subdomain, eukaryotic-type	GENE3D	G3DSA:3.90.15.10		GO:0003916, GO:0006265, GO:0003677, GO:0003917
32225-Vv.00g000930.m01	IPR035447	DNA topoisomerase I, N-terminal	GENE3D	G3DSA:3.30.66.10		GO:0003916, GO:0006265, GO:0003677, GO:0003917
32225-Vv.00g000930.m01	IPR035447	DNA topoisomerase I, N-terminal	SUPERFAMILY	SSF55869	DNA topoisomerase I domain	GO:0003916, GO:0006265, GO:0003677, GO:0003917
32225-Vv.00g000930.m01	IPR027362	DNA topoisomerase I, C-terminal	GENE3D	G3DSA:1.20.120.380		GO:0003916, GO:0006265, GO:0003677, GO:0003917
32225-Vv.00g000930.m01	IPR001631	DNA topoisomerase I	PANTHER	PTHR10290	DNA TOPOISOMERASE I	GO:0003916, GO:0006265, GO:0003677, GO:0003917
32225-Vv.00g000930.m01	noIPR		PANTHER	PTHR10290:SF3	DNA TOPOISOMERASE 1	GO:0003916, GO:0006265, GO:0003677, GO:0003917
32225-Vv.00g000930.m01	IPR018521	DNA topoisomerase I, active site	PROSITE_PATTERNS	PS00176	TOPOISOMERASE_I_EUK	GO:0003916, GO:0006265, GO:0003677, GO:0003917
32225-Vv.00g000930.m01	IPR011010	DNA breaking-rejoining enzyme, catalytic core	SUPERFAMILY	SSF56349	DNA breaking-rejoining enzymes	GO:0003916, GO:0006265, GO:0003677, GO:0003917
32225-Vv.00g000940.m01	IPR006872	Late protein H7, poxvirus	PFAM	PF04787	Pox_H7	
32225-Vv.00g000950.m01	noIPR		COILS	Coil	Coil	GO:0004484, GO:0004651
32225-Vv.00g000950.m01	noIPR		GENE3D	G3DSA:3.40.50.150		GO:0004484, GO:0004651
32225-Vv.00g000950.m01	noIPR		GENE3D	G3DSA:3.20.100.20		GO:0004484, GO:0004651
32225-Vv.00g000950.m01	noIPR		GENE3D	G3DSA:3.30.470.140		GO:0004484, GO:0004651
32225-Vv.00g000950.m01	noIPR		GENE3D	G3DSA:2.40.50.830		GO:0004484, GO:0004651
32225-Vv.00g000950.m01	noIPR		PANTHER	PTHR12189:SF2	MRNA CAP GUANINE-N7 METHYLTRANSFERASE	GO:0004484, GO:0004651
32225-Vv.00g000950.m01	noIPR		PANTHER	PTHR12189	MRNA  GUANINE-7- METHYLTRANSFERASE	GO:0004484, GO:0004651
32225-Vv.00g000950.m01	noIPR		PANTHER	PTHR12189	MRNA  GUANINE-7- METHYLTRANSFERASE	GO:0004484, GO:0004651
32225-Vv.00g000950.m01	IPR019602	mRNA capping enzyme, large subunit, ATPase/guanylyltransferase, virus	PFAM	PF10640	Pox_ATPase-GT	GO:0004484, GO:0004651
32225-Vv.00g000950.m01	IPR004971	mRNA (guanine-N(7))-methyltransferase domain	PFAM	PF03291	Pox_MCEL	GO:0004484, GO:0004651
32225-Vv.00g000950.m01	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	GO:0004484, GO:0004651
32225-Vv.00g000960.m01	IPR006791	Pox virus D2 protein	PFAM	PF04701	Pox_D2	
32225-Vv.00g000970.m01	IPR007660	Chordopoxvirinae D3 protein	PFAM	PF04580	Pox_D3	
32225-Vv.00g000980.m01	IPR036895	Uracil-DNA glycosylase-like domain superfamily	GENE3D	G3DSA:3.40.470.10		GO:0006281, GO:0016799
32225-Vv.00g000980.m01	IPR036895	Uracil-DNA glycosylase-like domain superfamily	SUPERFAMILY	SSF52141	Uracil-DNA glycosylase-like	GO:0006281, GO:0016799
32225-Vv.00g000980.m01	IPR018085	Uracil-DNA glycosylase, active site	PROSITE_PATTERNS	PS00130	U_DNA_GLYCOSYLASE	GO:0006281, GO:0016799
32225-Vv.00g000990.m01	IPR014818	Bacteriophage/plasmid primase, P4, C-terminal	PFAM	PF08706	D5_N	
32225-Vv.00g001000.m01	IPR004968	DNA primase/nucleoside triphosphatase, C-terminal	PFAM	PF03288	Pox_D5	
32225-Vv.00g001010.m01	IPR014001	Helicase superfamily 1/2, ATP-binding domain	SMART	SM00487	ultradead3	GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001010.m01	IPR001650	Helicase, C-terminal	SMART	SM00490	helicmild6	GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001010.m01	IPR001650	Helicase, C-terminal	PFAM	PF00271	Helicase_C	GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001010.m01	IPR006935	Helicase/UvrB, N-terminal	PFAM	PF04851	ResIII	GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001010.m01	noIPR		GENE3D	G3DSA:3.40.50.300		GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001010.m01	noIPR		GENE3D	G3DSA:3.40.50.300		GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001010.m01	IPR002464	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	PROSITE_PATTERNS	PS00690	DEAH_ATP_HELICASE	GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001010.m01	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001020.m01	IPR004973	DNA-directed RNA polymerase, 18kDa subunit, poxviral	PFAM	PF03293	Pox_RNA_pol	GO:0019083, GO:0003677, GO:0003899
32225-Vv.00g001020.m01	IPR004973	DNA-directed RNA polymerase, 18kDa subunit, poxviral	PRODOM	PD013243		GO:0019083, GO:0003677, GO:0003899
32225-Vv.00g001030.m01	IPR001148	Alpha carbonic anhydrase domain	SMART	SM01057	Carb_anhydrase_2a	GO:0004089, GO:0008270
32225-Vv.00g001030.m01	IPR001148	Alpha carbonic anhydrase domain	PFAM	PF00194	Carb_anhydrase	GO:0004089, GO:0008270
32225-Vv.00g001030.m01	IPR036398	Alpha carbonic anhydrase domain superfamily	GENE3D	G3DSA:3.10.200.10		GO:0004089, GO:0008270
32225-Vv.00g001030.m01	IPR036398	Alpha carbonic anhydrase domain superfamily	SUPERFAMILY	SSF51069	Carbonic anhydrase	GO:0004089, GO:0008270
32225-Vv.00g001030.m01	IPR023561	Carbonic anhydrase, alpha-class	PANTHER	PTHR18952	CARBONIC ANHYDRASE	GO:0004089, GO:0008270
32225-Vv.00g001030.m01	noIPR		PANTHER	PTHR18952:SF81	CARBONIC ANHYDRASE 13	GO:0004089, GO:0008270
32225-Vv.00g001040.m01	noIPR		COILS	Coil	Coil	GO:0016787
32225-Vv.00g001040.m01	noIPR		GENE3D	G3DSA:3.90.79.10		GO:0016787
32225-Vv.00g001040.m01	IPR000086	NUDIX hydrolase domain	PFAM	PF00293	NUDIX	GO:0016787
32225-Vv.00g001040.m01	IPR015797	NUDIX hydrolase-like domain superfamily	SUPERFAMILY	SSF55811	Nudix	GO:0016787
32225-Vv.00g001050.m01	IPR013683	Vaccinia virus D10,  N-terminal	PFAM	PF08476	VD10_N	GO:0016791, GO:0016787
32225-Vv.00g001050.m01	IPR020084	NUDIX hydrolase, conserved site	PROSITE_PATTERNS	PS00893	NUDIX_BOX	GO:0016791, GO:0016787
32225-Vv.00g001050.m01	IPR015797	NUDIX hydrolase-like domain superfamily	SUPERFAMILY	SSF55811	Nudix	GO:0016791, GO:0016787
32225-Vv.00g001060.m01	IPR014001	Helicase superfamily 1/2, ATP-binding domain	SMART	SM00487	ultradead3	GO:0017111, GO:0006351, GO:0005524
32225-Vv.00g001060.m01	IPR001650	Helicase, C-terminal	SMART	SM00490	helicmild6	GO:0017111, GO:0006351, GO:0005524
32225-Vv.00g001060.m01	IPR001650	Helicase, C-terminal	PFAM	PF00271	Helicase_C	GO:0017111, GO:0006351, GO:0005524
32225-Vv.00g001060.m01	noIPR		GENE3D	G3DSA:3.40.50.300		GO:0017111, GO:0006351, GO:0005524
32225-Vv.00g001060.m01	noIPR		GENE3D	G3DSA:3.40.50.300		GO:0017111, GO:0006351, GO:0005524
32225-Vv.00g001060.m01	noIPR		PANTHER	PTHR10799	SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY-RELATED	GO:0017111, GO:0006351, GO:0005524
32225-Vv.00g001060.m01	IPR013676	Nucleoside triphosphatase I, C-terminal	PFAM	PF08469	NPHI_C	GO:0017111, GO:0006351, GO:0005524
32225-Vv.00g001060.m01	IPR000330	SNF2-related, N-terminal domain	PFAM	PF00176	SNF2_N	GO:0017111, GO:0006351, GO:0005524
32225-Vv.00g001060.m01	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	GO:0017111, GO:0006351, GO:0005524
32225-Vv.00g001060.m01	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	GO:0017111, GO:0006351, GO:0005524
32225-Vv.00g001070.m01	IPR005009	Poxvirus mRNA capping enzyme, small subunit	PFAM	PF03341	Pox_mRNA-cap	GO:0004482, GO:0006370
32225-Vv.00g001070.m01	IPR005009	Poxvirus mRNA capping enzyme, small subunit	PRODOM	PD009934		GO:0004482, GO:0006370
32225-Vv.00g001070.m01	noIPR		GENE3D	G3DSA:3.40.50.11680		GO:0004482, GO:0006370
32225-Vv.00g001080.m01	IPR005008	Poxvirus rifampicin-resistance	PFAM	PF03340	Pox_Rif	GO:0046677
32225-Vv.00g001090.m01	IPR004975	Poxvirus VLTF2, trans-activator	PFAM	PF03295	Pox_TAA1	GO:0008270
32225-Vv.00g001090.m01	IPR010507	Zinc finger, MYM-type	PFAM	PF06467	zf-FCS	GO:0008270
32225-Vv.00g001090.m01	noIPR		PRODOM	PD009333		GO:0008270
32225-Vv.00g001100.m01	IPR007031	Poxvirus VLTF3, late transcription factor	PFAM	PF04947	Pox_VLTF3	GO:0046782
32225-Vv.00g001100.m01	IPR014900	Viral late gene transcription factor 3 , zinc ribbon	PFAM	PF08792	A2L_zn_ribbon	GO:0046782
32225-Vv.00g001110.m01	IPR007952	Poxvirus A3L	PFAM	PF05288	Pox_A3L	
32225-Vv.00g001110.m01	IPR007952	Poxvirus A3L	PRODOM	PD014997		
32225-Vv.00g001120.m01	IPR004972	Major core protein 4b	PFAM	PF03292	Pox_P4B	
32225-Vv.00g001130.m01	noIPR		COILS	Coil	Coil	
32225-Vv.00g001130.m01	IPR010396	Orthopoxvirus A5	PFAM	PF06193	Orthopox_A5L	
32225-Vv.00g001140.m01	IPR007984	DNA-directed RNA polymerase, 19kDa subunit, poxviral	PFAM	PF05320	Pox_RNA_Pol_19	GO:0003677, GO:0003899, GO:0006351
32225-Vv.00g001140.m01	IPR007984	DNA-directed RNA polymerase, 19kDa subunit, poxviral	PIRSF	PIRSF000743	RPO19	GO:0003677, GO:0003899, GO:0006351
32225-Vv.00g001140.m01	IPR007984	DNA-directed RNA polymerase, 19kDa subunit, poxviral	PRODOM	PD012915		GO:0003677, GO:0003899, GO:0006351
32225-Vv.00g001150.m01	IPR007008	Poxvirus A6	PFAM	PF04924	Pox_A6	
32225-Vv.00g001160.m01	IPR007532	Poxvirus early transcription factor, large subunit	PFAM	PF04441	Pox_VERT_large	GO:0045893
32225-Vv.00g001170.m01	IPR006834	VITF-3 subunit protein	PFAM	PF04745	Pox_A8	
32225-Vv.00g001170.m01	IPR006834	VITF-3 subunit protein	PRODOM	PD014007		
32225-Vv.00g001180.m01	IPR006920	Poxvirus A9	PFAM	PF04835	Pox_A9	
32225-Vv.00g001180.m01	IPR006920	Poxvirus A9	PRODOM	PD010301		
32225-Vv.00g001190.m01	IPR005058	Poxvirus P4A	PFAM	PF03395	Pox_P4A	GO:0005198, GO:0019012
32225-Vv.00g001200.m01	noIPR		COILS	Coil	Coil	
32225-Vv.00g001200.m01	IPR007755	Poxvirus A11	PFAM	PF05061	Pox_A11	
32225-Vv.00g001210.m01	IPR006744	Poxvirus A12	PFAM	PF04651	Pox_A12	
32225-Vv.00g001220.m01	IPR009236	Chordopoxvirus A13L	PFAM	PF05961	Chordopox_A13L	
32225-Vv.00g001230.m01	IPR008785	Poxvirus A14, virion envelope	PFAM	PF05767	Pox_A14	GO:0019031
32225-Vv.00g001240.m01	IPR009372	Poxvirus virion membrane protein A14.5	PFAM	PF06269	DUF1029	
32225-Vv.00g001250.m01	IPR008445	Core protein A15	PFAM	PF05846	Chordopox_A15	
32225-Vv.00g001250.m01	IPR008445	Core protein A15	PRODOM	PD020107		
32225-Vv.00g001260.m01	IPR004251	Pox virus entry-fusion-complex G9/A16	PFAM	PF03003	Pox_G9-A16	
32225-Vv.00g001270.m01	IPR007977	Poxvirus P21 membrane	PFAM	PF05313	Pox_P21	GO:0016021
32225-Vv.00g001280.m01	IPR014001	Helicase superfamily 1/2, ATP-binding domain	SMART	SM00487	ultradead3	GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001280.m01	IPR006935	Helicase/UvrB, N-terminal	PFAM	PF04851	ResIII	GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001280.m01	noIPR		GENE3D	G3DSA:3.40.50.300		GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001280.m01	noIPR		GENE3D	G3DSA:3.40.50.300		GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001280.m01	noIPR		PANTHER	PTHR11274	RAD25/XP-B DNA REPAIR HELICASE	GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001280.m01	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	GO:0016787, GO:0005524, GO:0003677
32225-Vv.00g001290.m01	IPR007769	Poxvirus A19	PFAM	PF05077	DUF678	
32225-Vv.00g001290.m01	IPR007769	Poxvirus A19	PRODOM	PD015074		
32225-Vv.00g001300.m01	IPR007987	Poxvirus A21	PFAM	PF05323	Pox_A21	
32225-Vv.00g001310.m01	IPR010267	Chordopoxvirus A20R	PFAM	PF05941	Chordopox_A20R	
32225-Vv.00g001320.m01	IPR006932	Holliday junction resolvase, A22	PFAM	PF04848	Pox_A22	GO:0006281, GO:0006310, GO:0016788, GO:0000400, GO:0000287
32225-Vv.00g001320.m01	IPR012337	Ribonuclease H-like superfamily	SUPERFAMILY	SSF53098	Ribonuclease H-like	GO:0006281, GO:0006310, GO:0016788, GO:0000400, GO:0000287
32225-Vv.00g001330.m01	IPR008789	Poxvirus intermediate transcription factor	PFAM	PF05718	Pox_int_trans	
32225-Vv.00g001340.m01	IPR007647	RNA polymerase Rpb2, domain 5	PFAM	PF04567	RNA_pol_Rpb2_5	GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001340.m01	IPR024390	RNA polymerase, 132kDa subunit, poxvirus-type	PFAM	PF12415	rpo132	GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001340.m01	noIPR		GENE3D	G3DSA:3.90.1800.10		GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001340.m01	noIPR		GENE3D	G3DSA:3.90.1100.10		GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001340.m01	noIPR		SUPERFAMILY	SSF64484	beta and beta-prime subunits of DNA dependent RNA-polymerase	GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001340.m01	IPR014724	RNA polymerase Rpb2, OB-fold	GENE3D	G3DSA:2.40.50.150		GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001340.m01	IPR007120	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain	PFAM	PF00562	RNA_pol_Rpb2_6	GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001340.m01	IPR007641	RNA polymerase Rpb2, domain 7	PFAM	PF04560	RNA_pol_Rpb2_7	GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001340.m01	IPR007645	RNA polymerase Rpb2, domain 3	PFAM	PF04565	RNA_pol_Rpb2_3	GO:0006351, GO:0003899, GO:0003677, GO:0032549
